ID	Name	Description	Hidden?	Notes	Where	SteamID	Progression?	Playstation rank 1020
general_first_attack	Это было страшно	Достичь десяти лет		automatic for finishing first year	exoscript	0		bronze
general_helios_lands	Гелиопауза	Гелиос приземляется в пятнадцать лет	TRUE	automatic for reaching age 15	exoscript	1		bronze
general_sneak_out	Что там?	Ускользнуть, чтобы исследовать			exoscript	2		bronze
general_won_vertumnalia	Ты чемпион	Победить на Вертумналии			status = popular	3		bronze
general_second_life	Проснуться снова	Начать свою вторую жизнь		make sure you must get some ending first, same as ending the game	exoscript	4		bronze
skill_suit_max	Динь-динь-динь!	Достичь 100 во всех 4 навыках одного типа			Princess.setSkill	5	400/400 points	bronze
skill_rebellion_max	Я ненавижу тебя!	Достичь 100 мятежности			Princess.setSkill	6	100/100 rebellion	bronze
ending_earth	Жизнь на Земле	Получить концовку Парадокс	TRUE	special_earth (also special_shipDestroyed)	Ending.AwardEnding	7		bronze
ending_timelord	Парадокс	Получить концовку Трансцендентность времени	TRUE	special_timeLord	Ending.AwardEnding	8		bronze
ending_bomb	Побег	Получить концовку Побег	TRUE	special_bomb	Ending.AwardEnding	9		bronze
ending_joingardeners	Трансформация	Получить концовку Примкнуть к Садовникам	TRUE	special_joinGardeners	Ending.AwardEnding	10		bronze
ending_destroygardeners	Подрыв	Получить концовку Отключить Массив	TRUE	special_destroyGardeners	Ending.AwardEnding	11		bronze
ending_virus	Зелёная Вертумна навсегда	Получить концовку Средство Тангент	TRUE	special_virus	Ending.AwardEnding	12		bronze
ending_colonydestroyed	Всё напрасно	Получить концовку Колония уничтожена	TRUE	special_colonyDestroyed	Ending.AwardEnding	13		bronze
ending_all	Все возможные ты	Получить все 29 концовок			Ending.AwardEnding	14	29/29 endings	gold
chara_anemone	Верность Энимоны	Разблокировать Энимону в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	15		bronze
chara_cal	Сила Кела	Разблокировать Кела в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	16		bronze
chara_tang	Фокус Тангент	Разблокировать Тангент в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	17		bronze
chara_dys	Секрет Диса	Разблокировать Диса в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	18		bronze
chara_marz	Амбиции Марц	Разблокировать Марц в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	19		bronze
chara_tammy	Забота Темми	Разблокировать Темми в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	20		bronze
chara_rex	Объятья Рекса	Разблокировать Рекса в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	21		bronze
chara_nomi	Энтузиазм Номи	Разблокировать Номи в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	22		bronze
chara_vace	Уверенность Вейса	Разблокировать Вейса в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	23		bronze
chara_sym	Любопытство Сима	Разблокировать Сима в главном меню		need their 3rd level card, requires love 10 plus event	Chara.AwardCardThree	24		bronze
chara_all	Все друзья	Разблокировать всех персонажей в меню			Chara.AwardCardThree	25	10/10 characters	bronze
pet_pet	Ласковый питомец	Погладьте своего питомца		have any pet and click on it	Pet	26		bronze
pet_all	Четыре питомца	Получите всех четырех питомцев за одну игру		hopeye, vriki, unisaur, robovac at the same time, don't all need to be equipped	Princess gear	27	4/4 pets at once	bronze
save_tammy	Принцесса и мишка	Спасти Темми	TRUE	automatic during second life	exoscript	28		bronze
save_tonin	Главный Геодезист	Спасти дядю Тонина	TRUE	poisoning him also counts	exoscript	29		bronze
save_hal	В инженерию!	Спасти профессора Хала	TRUE		exoscript	30		bronze
save_mom	Больше нет голода	Положить конец голоду	TRUE	preventing wormhole accident does NOT count	exoscript	31		silver
save_dad	Его маленькая помидорка	Помочь Тангент излечить Шиммер	TRUE		exoscript	0		silver
love_meet_sym	Кто... или Что...	Встретить Садовника Сима	TRUE		exoscript	1		bronze
